User.Name,Manager.Name,Territory_Country__c,Segment__c,Quota_USD__c,Tenure_Months__c,User_Status__c,Attainment_Prior_Q1__c,Attainment_Prior_Q2__c
Dexter Moyo,Carmen Dorsey,US,Enterprise,750000,28,Active,1.06,0.97
Priscilla Vance,Carmen Dorsey,US,Enterprise,750000,19,Active,1.01,1.09
Emmett Sorrell,Carmen Dorsey,US,Enterprise,750000,34,Active,0.93,1.02
Rosalind Abiola,Carmen Dorsey,US,Enterprise,750000,11,Active,0.96,0.92
Imogen Blackwood,Theo Vandermeer,CA,Commercial,380000,31,Active,1.11,0.99
Rashid Benally,Theo Vandermeer,CA,Commercial,380000,16,Active,0.97,1.05
Colette Ferrand,Theo Vandermeer,CA,Commercial,380000,22,Active,1.02,0.93
OPEN REQ (Marcus Iwu backfill pending),Theo Vandermeer,CA,Commercial,380000,0,Open Req,0.98,0.89
OPEN REQ (Delia Santoro backfill pending),Theo Vandermeer,CA,Commercial,380000,0,Open Req,0.92,1.02
Caio Brandao,Beatriz Salgado,BR,Enterprise,620000,24,Active,1.04,0.95
Larissa Pequeno,Beatriz Salgado,BR,Enterprise,620000,29,Active,0.87,0.85
Otavio Rennard,Beatriz Salgado,BR,Enterprise,620000,13,Active,0.94,1.01
Nayara Quintal,Beatriz Salgado,BR,Enterprise,620000,9,Active,0.98,0.96
Sybil Trent,Harriet Okonjo,US,SMB,240000,26,Active,1.07,1.13
Malik Doyle,Harriet Okonjo,US,SMB,240000,12,Active,1.0,0.94
Anouk Ferreira,Harriet Okonjo,US,SMB,240000,17,Active,0.93,0.98
Jonas Whitlock,Harriet Okonjo,US,SMB,240000,7,Active,0.99,1.07
Tabitha Nyong,Harriet Okonjo,US,SMB,240000,21,Active,1.08,0.95
Ximena Robledo,Rafael Ibarra,MX,Public Sector,195000,20,Active,1.03,0.98
Bruno Cavazos,Rafael Ibarra,MX,Public Sector,195000,15,Active,0.86,0.88
Paulina Esquivel,Rafael Ibarra,MX,Public Sector,195000,27,Active,0.96,1.06
Iker Montalvo,Rafael Ibarra,MX,Public Sector,195000,8,Active,1.05,0.94
Renata Villalobos,Rafael Ibarra,MX,Public Sector,195000,32,Active,0.99,1.0
Santiago Ruelas,Rafael Ibarra,MX,Public Sector,195000,10,Active,1.02,0.97
Wren Tessier,Nadine Lockhart,CA,SMB,225000,25,Active,1.04,1.03
Oskar Lindqvist,Nadine Lockhart,CA,SMB,225000,14,Active,0.98,0.95
Marguerite Chow,Nadine Lockhart,CA,SMB,225000,18,Active,0.96,1.09
Elias Tremblay,Nadine Lockhart,CA,SMB,225000,6,Active,0.9,0.97
Yusra Kaddour,Nadine Lockhart,CA,SMB,225000,30,Active,1.05,0.98
